Device Name,NDG,IP address,,Device Name,NDG,IP address,
Nissim,Lectus Industries,8,,Mufutau,Nibh Dolor Inc.,6,
Oren,Cras Interdum Nunc Ltd,10,,Nicholas,A LLC,4,
Perry,Luctus LLC,4,,Orson,Ut Tincidunt Vehicula LLC,6,
Prescott,Orci PC,9,,Paul,Aliquet Ltd,9,
Raja,Auctor Nunc Incorporated,8,,Peter,Dictum Associates,3,
Rajah,Nulla Facilisis Suspendisse Associates,3,,Rafael,Vestibulum Foundation,5,
Raphael,Ultrices A Auctor Foundation,9,,Robert,Nec Orci Limited,8,Robert
Raphael,Id Ante Limited,4,,Rogan,Vulputate PC,1,
Rigel,Eu Tellus PC,10,,Ronan,Ante Dictum Inc.,7,
Robert,Vitae Velit Inc.,8,,Rooney,A Felis LLC,3,
Samuel,Cras Incorporated,6,,Samuel,Euismod Ltd,6,Samuel
Solomon,Mollis Nec Limited,2,,Samuel,Convallis Erat PC,6,
Solomon,Pellentesque A Ltd,6,,Scott,Vitae Orci Corp.,10,
Solomon,Molestie PC,6,,Scott,Duis Gravida Praesent LLP,3,
Stewart,Lectus Nullam Inc.,4,,Stone,Ut Limited,4,Stone
Stone,Nam Consequat Dolor Institute,6,,Stuart,Vitae Nibh Donec Foundation,10,Stuart
Stuart,At LLC,1,,Travis,Donec Tincidunt Foundation,3,Travis
Theodore,Nibh Vulputate Corp.,1,,Trey,Smith,12,Trey
Travis,Phasellus Dolor Incorporated,8,,Vaughan,Dolor Fusce Feugiat Corporation,8,
Trey,Smith,12,,Walker,Vivamus Institute,10,
Tyrone,Elit Pharetra Ut LLC,3,,Warren,Est Corporation,3,Warren
Ulysses,A Ultricies Adipiscing Associates,10,,Wayne,Nulla Eu Neque Corporation,9,
Warren,Montes Nascetur Ridiculus Industries,1,,Wesley,Proin Nisl Foundation,2,
William,Elit Corp.,3,,Xavier,Nunc Sed LLP,9,
Xander,Netus Et PC,8,,Xavier,Libero Et Tristique Institute,2,
Xenos,Dolor Nulla Institute,3,,Zahir,Donec Company,5,
Zachery,Mauris Eu Elit Incorporated,9,,Zeph,Ridiculus Mus Proin PC,6,
